item_id,abc_class,xyz_class,abc_xyz_segment,avg_daily_demand,std_daily_demand,cv_demand,avg_price,lead_time_days,target_service_level,z_score,lead_time_demand,safety_stock,safety_stock_units,reorder_point,reorder_point_units,replenishment_policy
FOODS_1_218,A,Y,AY,11.7026,9.3254,0.7969,0.98,7,0.95,1.65,81.92,40.71,41,122.63,123,Continuous Review (Weekly Reorder Trigger) | High Service Level 95%
FOODS_1_112,A,Z,AZ,2.3183,2.469,1.065,1.98,7,0.95,1.65,16.23,10.78,11,27.01,28,Bi-Weekly Review + Safety Buffer | Monitor Demand Spikes Closely
FOODS_1_184,A,Z,AZ,2.311,3.2209,1.3937,1.0,7,0.95,1.65,16.18,14.06,15,30.24,31,Bi-Weekly Review + Safety Buffer | Monitor Demand Spikes Closely
FOODS_1_082,A,Z,AZ,2.2802,4.0794,1.7891,0.98,7,0.95,1.65,15.96,17.81,18,33.77,34,Bi-Weekly Review + Safety Buffer | Monitor Demand Spikes Closely
FOODS_1_040,A,Z,AZ,2.2175,2.3924,1.0789,1.84,7,0.95,1.65,15.52,10.44,11,25.96,26,Bi-Weekly Review + Safety Buffer | Monitor Demand Spikes Closely
FOODS_1_166,A,Z,AZ,2.1777,2.5025,1.1491,2.16,7,0.95,1.65,15.24,10.92,11,26.16,27,Bi-Weekly Review + Safety Buffer | Monitor Demand Spikes Closely
FOODS_1_217,A,Z,AZ,2.1035,2.8982,1.3778,3.33,7,0.95,1.65,14.72,12.65,13,27.37,28,Bi-Weekly Review + Safety Buffer | Monitor Demand Spikes Closely
FOODS_1_153,A,Y,AY,2.0768,2.0161,0.9708,1.88,7,0.95,1.65,14.54,8.8,9,23.34,24,Continuous Review (Weekly Reorder Trigger) | High Service Level 95%
FOODS_1_194,A,Z,AZ,2.0742,2.1945,1.058,4.7,7,0.95,1.65,14.52,9.58,10,24.1,25,Bi-Weekly Review + Safety Buffer | Monitor Demand Spikes Closely
FOODS_1_201,A,Z,AZ,2.0486,2.4721,1.2067,2.16,7,0.95,1.65,14.34,10.79,11,25.13,26,Bi-Weekly Review + Safety Buffer | Monitor Demand Spikes Closely
FOODS_1_044,A,Z,AZ,2.0204,3.0548,1.512,2.81,7,0.95,1.65,14.14,13.34,14,27.48,28,Bi-Weekly Review + Safety Buffer | Monitor Demand Spikes Closely
FOODS_1_036,A,Z,AZ,1.9603,2.228,1.1366,1.76,7,0.95,1.65,13.72,9.73,10,23.45,24,Bi-Weekly Review + Safety Buffer | Monitor Demand Spikes Closely
FOODS_1_181,A,Z,AZ,1.9294,2.5451,1.3191,1.32,7,0.95,1.65,13.51,11.11,12,24.62,25,Bi-Weekly Review + Safety Buffer | Monitor Demand Spikes Closely
FOODS_1_054,A,Z,AZ,1.8076,1.8369,1.0162,1.88,7,0.95,1.65,12.65,8.02,9,20.67,21,Bi-Weekly Review + Safety Buffer | Monitor Demand Spikes Closely
FOODS_1_104,A,Z,AZ,1.7731,2.4163,1.3628,3.33,7,0.95,1.65,12.41,10.55,11,22.96,23,Bi-Weekly Review + Safety Buffer | Monitor Demand Spikes Closely
FOODS_1_087,A,Z,AZ,1.7156,2.2437,1.3078,5.5,7,0.95,1.65,12.01,9.79,10,21.8,22,Bi-Weekly Review + Safety Buffer | Monitor Demand Spikes Closely
FOODS_1_130,A,Z,AZ,1.7088,1.8496,1.0824,1.75,7,0.95,1.65,11.96,8.07,9,20.03,21,Bi-Weekly Review + Safety Buffer | Monitor Demand Spikes Closely
FOODS_1_120,A,Z,AZ,1.6968,2.1809,1.2853,1.85,7,0.95,1.65,11.88,9.52,10,21.4,22,Bi-Weekly Review + Safety Buffer | Monitor Demand Spikes Closely
FOODS_1_061,A,Z,AZ,1.6451,1.8817,1.1438,2.17,7,0.95,1.65,11.52,8.21,9,19.73,20,Bi-Weekly Review + Safety Buffer | Monitor Demand Spikes Closely
FOODS_1_027,A,Z,AZ,1.5463,2.997,1.9382,1.86,7,0.95,1.65,10.82,13.08,14,23.9,24,Bi-Weekly Review + Safety Buffer | Monitor Demand Spikes Closely
FOODS_1_088,A,Z,AZ,1.5416,2.1051,1.3655,4.86,7,0.95,1.65,10.79,9.19,10,19.98,20,Bi-Weekly Review + Safety Buffer | Monitor Demand Spikes Closely
FOODS_1_074,A,Z,AZ,1.5379,2.0049,1.3037,2.23,7,0.95,1.65,10.77,8.75,9,19.52,20,Bi-Weekly Review + Safety Buffer | Monitor Demand Spikes Closely
FOODS_1_064,A,Z,AZ,1.5191,1.6031,1.0553,2.62,7,0.95,1.65,10.63,7.0,7,17.63,18,Bi-Weekly Review + Safety Buffer | Monitor Demand Spikes Closely
FOODS_1_127,A,Z,AZ,1.5091,1.8301,1.2127,1.99,7,0.95,1.65,10.56,7.99,8,18.55,19,Bi-Weekly Review + Safety Buffer | Monitor Demand Spikes Closely
FOODS_1_006,A,Z,AZ,1.5024,1.8692,1.2441,2.21,7,0.95,1.65,10.52,8.16,9,18.68,19,Bi-Weekly Review + Safety Buffer | Monitor Demand Spikes Closely
FOODS_1_083,A,Z,AZ,1.4558,2.0045,1.3769,1.98,7,0.95,1.65,10.19,8.75,9,18.94,19,Bi-Weekly Review + Safety Buffer | Monitor Demand Spikes Closely
FOODS_1_103,A,Z,AZ,1.414,1.9761,1.3975,3.95,7,0.95,1.65,9.9,8.63,9,18.53,19,Bi-Weekly Review + Safety Buffer | Monitor Demand Spikes Closely
FOODS_1_208,A,Z,AZ,1.3806,1.8648,1.3507,1.85,7,0.95,1.65,9.66,8.14,9,17.8,18,Bi-Weekly Review + Safety Buffer | Monitor Demand Spikes Closely
FOODS_1_207,A,Z,AZ,1.3246,1.5476,1.1684,3.29,7,0.95,1.65,9.27,6.76,7,16.03,17,Bi-Weekly Review + Safety Buffer | Monitor Demand Spikes Closely
FOODS_1_106,A,Z,AZ,1.3105,1.5439,1.1781,3.31,7,0.95,1.65,9.17,6.74,7,15.91,16,Bi-Weekly Review + Safety Buffer | Monitor Demand Spikes Closely
FOODS_1_023,A,Z,AZ,1.3074,2.0691,1.5826,5.5,7,0.95,1.65,9.15,9.03,10,18.18,19,Bi-Weekly Review + Safety Buffer | Monitor Demand Spikes Closely
FOODS_1_016,A,Z,AZ,1.2446,1.608,1.292,2.07,7,0.95,1.65,8.71,7.02,8,15.73,16,Bi-Weekly Review + Safety Buffer | Monitor Demand Spikes Closely
FOODS_1_150,A,Z,AZ,1.2133,1.6401,1.3518,4.86,7,0.95,1.65,8.49,7.16,8,15.65,16,Bi-Weekly Review + Safety Buffer | Monitor Demand Spikes Closely
FOODS_1_196,A,Z,AZ,1.2112,1.7142,1.4153,1.98,7,0.95,1.65,8.48,7.48,8,15.96,16,Bi-Weekly Review + Safety Buffer | Monitor Demand Spikes Closely
FOODS_1_024,A,Z,AZ,1.1845,1.469,1.2402,4.7,7,0.95,1.65,8.29,6.41,7,14.7,15,Bi-Weekly Review + Safety Buffer | Monitor Demand Spikes Closely
FOODS_1_073,A,Z,AZ,1.1735,1.4601,1.2442,1.98,7,0.95,1.65,8.21,6.37,7,14.58,15,Bi-Weekly Review + Safety Buffer | Monitor Demand Spikes Closely
FOODS_1_005,A,Z,AZ,1.1626,2.0157,1.7338,3.33,7,0.95,1.65,8.14,8.8,9,16.94,17,Bi-Weekly Review + Safety Buffer | Monitor Demand Spikes Closely
FOODS_1_197,A,Z,AZ,1.1129,1.3606,1.2226,4.86,7,0.95,1.65,7.79,5.94,6,13.73,14,Bi-Weekly Review + Safety Buffer | Monitor Demand Spikes Closely
FOODS_1_187,A,Z,AZ,1.1025,1.4438,1.3096,9.17,7,0.95,1.65,7.72,6.3,7,14.02,15,Bi-Weekly Review + Safety Buffer | Monitor Demand Spikes Closely
FOODS_1_185,A,Z,AZ,1.0753,1.4251,1.3253,2.17,7,0.95,1.65,7.53,6.22,7,13.75,14,Bi-Weekly Review + Safety Buffer | Monitor Demand Spikes Closely
FOODS_1_031,A,Z,AZ,1.0711,1.7342,1.6191,3.37,7,0.95,1.65,7.5,7.57,8,15.07,16,Bi-Weekly Review + Safety Buffer | Monitor Demand Spikes Closely
FOODS_1_037,A,Z,AZ,1.0685,1.985,1.8577,3.22,7,0.95,1.65,7.48,8.67,9,16.15,17,Bi-Weekly Review + Safety Buffer | Monitor Demand Spikes Closely
FOODS_1_020,A,Z,AZ,1.0601,1.2484,1.1776,2.65,7,0.95,1.65,7.42,5.45,6,12.87,13,Bi-Weekly Review + Safety Buffer | Monitor Demand Spikes Closely
FOODS_1_180,A,Z,AZ,1.0376,1.9768,1.9052,9.59,7,0.95,1.65,7.26,8.63,9,15.89,16,Bi-Weekly Review + Safety Buffer | Monitor Demand Spikes Closely
FOODS_1_047,A,Z,AZ,1.012,1.4552,1.4379,3.34,7,0.95,1.65,7.08,6.35,7,13.43,14,Bi-Weekly Review + Safety Buffer | Monitor Demand Spikes Closely
FOODS_1_195,A,Z,AZ,1.0042,1.4593,1.4532,2.23,7,0.95,1.65,7.03,6.37,7,13.4,14,Bi-Weekly Review + Safety Buffer | Monitor Demand Spikes Closely
FOODS_1_174,A,Z,AZ,0.9749,1.2845,1.3176,4.86,7,0.95,1.65,6.82,5.61,6,12.43,13,Bi-Weekly Review + Safety Buffer | Monitor Demand Spikes Closely
FOODS_1_152,A,Z,AZ,0.9336,1.2536,1.3428,8.07,7,0.95,1.65,6.54,5.47,6,12.01,13,Bi-Weekly Review + Safety Buffer | Monitor Demand Spikes Closely
FOODS_1_075,A,Z,AZ,0.9174,1.5109,1.6469,3.33,7,0.95,1.65,6.42,6.6,7,13.02,14,Bi-Weekly Review + Safety Buffer | Monitor Demand Spikes Closely
FOODS_1_108,A,Z,AZ,0.897,1.3685,1.5256,2.5,7,0.95,1.65,6.28,5.97,6,12.25,13,Bi-Weekly Review + Safety Buffer | Monitor Demand Spikes Closely
FOODS_1_114,A,Z,AZ,0.8798,1.2844,1.4599,3.33,7,0.95,1.65,6.16,5.61,6,11.77,12,Bi-Weekly Review + Safety Buffer | Monitor Demand Spikes Closely
FOODS_1_090,A,Z,AZ,0.8798,1.7441,1.9824,3.33,7,0.95,1.65,6.16,7.61,8,13.77,14,Bi-Weekly Review + Safety Buffer | Monitor Demand Spikes Closely
FOODS_1_081,A,Z,AZ,0.8725,1.6227,1.8598,5.5,7,0.95,1.65,6.11,7.08,8,13.19,14,Bi-Weekly Review + Safety Buffer | Monitor Demand Spikes Closely
FOODS_1_177,A,Z,AZ,0.8625,1.1614,1.3466,8.61,7,0.95,1.65,6.04,5.07,6,11.11,12,Bi-Weekly Review + Safety Buffer | Monitor Demand Spikes Closely
FOODS_1_133,A,Z,AZ,0.8589,1.8355,2.137,3.18,7,0.95,1.65,6.01,8.01,9,14.02,15,Bi-Weekly Review + Safety Buffer | Monitor Demand Spikes Closely
FOODS_1_123,A,Z,AZ,0.8479,1.5656,1.8464,3.33,7,0.95,1.65,5.94,6.83,7,12.77,13,Bi-Weekly Review + Safety Buffer | Monitor Demand Spikes Closely
FOODS_1_167,A,Z,AZ,0.84,1.1519,1.3713,4.7,7,0.95,1.65,5.88,5.03,6,10.91,11,Bi-Weekly Review + Safety Buffer | Monitor Demand Spikes Closely
FOODS_1_144,A,Z,AZ,0.8353,1.0822,1.2956,6.96,7,0.95,1.65,5.85,4.72,5,10.57,11,Bi-Weekly Review + Safety Buffer | Monitor Demand Spikes Closely
FOODS_1_003,A,Z,AZ,0.8322,1.1632,1.3977,2.97,7,0.95,1.65,5.83,5.08,6,10.91,11,Bi-Weekly Review + Safety Buffer | Monitor Demand Spikes Closely
FOODS_1_094,A,Z,AZ,0.816,1.2769,1.5648,3.31,7,0.95,1.65,5.71,5.57,6,11.28,12,Bi-Weekly Review + Safety Buffer | Monitor Demand Spikes Closely
FOODS_1_214,A,Z,AZ,0.7967,1.0697,1.3427,2.95,7,0.95,1.65,5.58,4.67,5,10.25,11,Bi-Weekly Review + Safety Buffer | Monitor Demand Spikes Closely
FOODS_1_076,A,Z,AZ,0.7862,1.0165,1.2929,5.5,7,0.95,1.65,5.5,4.44,5,9.94,10,Bi-Weekly Review + Safety Buffer | Monitor Demand Spikes Closely
FOODS_1_216,A,Z,AZ,0.7763,1.3006,1.6754,4.95,7,0.95,1.65,5.43,5.68,6,11.11,12,Bi-Weekly Review + Safety Buffer | Monitor Demand Spikes Closely
FOODS_1_080,A,Z,AZ,0.7747,1.1683,1.5081,7.47,7,0.95,1.65,5.42,5.1,6,10.52,11,Bi-Weekly Review + Safety Buffer | Monitor Demand Spikes Closely
FOODS_1_175,A,Z,AZ,0.7674,1.2139,1.5818,2.97,7,0.95,1.65,5.37,5.3,6,10.67,11,Bi-Weekly Review + Safety Buffer | Monitor Demand Spikes Closely
FOODS_1_115,A,Z,AZ,0.7067,1.4515,2.0539,3.58,7,0.95,1.65,4.95,6.34,7,11.29,12,Bi-Weekly Review + Safety Buffer | Monitor Demand Spikes Closely
FOODS_1_128,A,Z,AZ,0.702,1.2438,1.7718,3.94,7,0.95,1.65,4.91,5.43,6,10.34,11,Bi-Weekly Review + Safety Buffer | Monitor Demand Spikes Closely
FOODS_1_141,A,Z,AZ,0.6806,1.043,1.5325,3.32,7,0.95,1.65,4.76,4.55,5,9.31,10,Bi-Weekly Review + Safety Buffer | Monitor Demand Spikes Closely
FOODS_1_140,A,Z,AZ,0.6602,1.0483,1.5879,6.93,7,0.95,1.65,4.62,4.58,5,9.2,10,Bi-Weekly Review + Safety Buffer | Monitor Demand Spikes Closely
FOODS_1_065,A,Z,AZ,0.6534,1.1193,1.713,3.3,7,0.95,1.65,4.57,4.89,5,9.46,10,Bi-Weekly Review + Safety Buffer | Monitor Demand Spikes Closely
FOODS_1_178,A,Z,AZ,0.6419,0.9101,1.4178,9.26,7,0.95,1.65,4.49,3.97,4,8.46,9,Bi-Weekly Review + Safety Buffer | Monitor Demand Spikes Closely
FOODS_1_136,A,Z,AZ,0.6174,1.1278,1.8267,4.7,7,0.95,1.65,4.32,4.92,5,9.24,10,Bi-Weekly Review + Safety Buffer | Monitor Demand Spikes Closely
FOODS_1_062,A,Z,AZ,0.5776,0.9986,1.7289,4.0,7,0.95,1.65,4.04,4.36,5,8.4,9,Bi-Weekly Review + Safety Buffer | Monitor Demand Spikes Closely
FOODS_1_038,A,Z,AZ,0.5405,0.9024,1.6696,9.18,7,0.95,1.65,3.78,3.94,4,7.72,8,Bi-Weekly Review + Safety Buffer | Monitor Demand Spikes Closely
FOODS_1_050,A,Z,AZ,0.5154,0.9958,1.9321,5.98,7,0.95,1.65,3.61,4.35,5,7.96,8,Bi-Weekly Review + Safety Buffer | Monitor Demand Spikes Closely
FOODS_1_026,A,Z,AZ,0.5107,0.8928,1.7482,6.95,7,0.95,1.65,3.57,3.9,4,7.47,8,Bi-Weekly Review + Safety Buffer | Monitor Demand Spikes Closely
FOODS_1_002,A,Z,AZ,0.4778,0.8038,1.6823,8.92,7,0.95,1.65,3.34,3.51,4,6.85,7,Bi-Weekly Review + Safety Buffer | Monitor Demand Spikes Closely
FOODS_1_205,A,Z,AZ,0.4626,0.8401,1.816,4.96,7,0.95,1.65,3.24,3.67,4,6.91,7,Bi-Weekly Review + Safety Buffer | Monitor Demand Spikes Closely
FOODS_1_199,A,Z,AZ,0.4339,0.9942,2.2913,5.49,7,0.95,1.65,3.04,4.34,5,7.38,8,Bi-Weekly Review + Safety Buffer | Monitor Demand Spikes Closely
FOODS_1_186,A,Z,AZ,0.4255,0.7741,1.8193,5.98,7,0.95,1.65,2.98,3.38,4,6.36,7,Bi-Weekly Review + Safety Buffer | Monitor Demand Spikes Closely
FOODS_1_129,A,Z,AZ,0.4119,0.8671,2.1051,5.98,7,0.95,1.65,2.88,3.79,4,6.67,7,Bi-Weekly Review + Safety Buffer | Monitor Demand Spikes Closely
FOODS_1_042,B,Z,BZ,1.9587,3.4281,1.7502,0.98,7,0.9,1.28,13.71,11.61,12,25.32,26,Periodic Review (Bi-Weekly) | Standard Reorder Trigger
FOODS_1_139,B,Z,BZ,1.9305,2.6414,1.3682,0.98,7,0.9,1.28,13.51,8.95,9,22.46,23,Periodic Review (Bi-Weekly) | Standard Reorder Trigger
FOODS_1_204,B,Z,BZ,1.9226,2.9441,1.5313,0.98,7,0.9,1.28,13.46,9.97,10,23.43,24,Periodic Review (Bi-Weekly) | Standard Reorder Trigger
FOODS_1_163,B,Z,BZ,1.9043,4.4535,2.3387,0.98,7,0.9,1.28,13.33,15.08,16,28.41,29,Periodic Review (Bi-Weekly) | Standard Reorder Trigger
FOODS_1_013,B,Z,BZ,1.3314,2.0391,1.5315,1.47,7,0.9,1.28,9.32,6.91,7,16.23,17,Periodic Review (Bi-Weekly) | Standard Reorder Trigger
FOODS_1_066,B,Z,BZ,1.3241,1.8657,1.409,1.36,7,0.9,1.28,9.27,6.32,7,15.59,16,Periodic Review (Bi-Weekly) | Standard Reorder Trigger
FOODS_1_190,B,Z,BZ,1.1688,2.1908,1.8744,0.98,7,0.9,1.28,8.18,7.42,8,15.6,16,Periodic Review (Bi-Weekly) | Standard Reorder Trigger
FOODS_1_215,B,Z,BZ,1.1009,1.9237,1.7474,1.75,7,0.9,1.28,7.71,6.51,7,14.22,15,Periodic Review (Bi-Weekly) | Standard Reorder Trigger
FOODS_1_210,B,Z,BZ,1.0821,1.8947,1.7509,1.87,7,0.9,1.28,7.57,6.42,7,13.99,14,Periodic Review (Bi-Weekly) | Standard Reorder Trigger
FOODS_1_105,B,Z,BZ,1.024,1.6464,1.6078,1.92,7,0.9,1.28,7.17,5.58,6,12.75,13,Periodic Review (Bi-Weekly) | Standard Reorder Trigger
FOODS_1_117,B,Z,BZ,1.0052,1.4395,1.4321,2.17,7,0.9,1.28,7.04,4.87,5,11.91,12,Periodic Review (Bi-Weekly) | Standard Reorder Trigger
FOODS_1_049,B,Z,BZ,0.9854,1.7401,1.7659,2.24,7,0.9,1.28,6.9,5.89,6,12.79,13,Periodic Review (Bi-Weekly) | Standard Reorder Trigger
FOODS_1_092,B,Z,BZ,0.9645,1.6206,1.6802,1.86,7,0.9,1.28,6.75,5.49,6,12.24,13,Periodic Review (Bi-Weekly) | Standard Reorder Trigger
FOODS_1_041,B,Z,BZ,0.9383,1.3585,1.4478,2.23,7,0.9,1.28,6.57,4.6,5,11.17,12,Periodic Review (Bi-Weekly) | Standard Reorder Trigger
FOODS_1_124,B,Z,BZ,0.9347,1.5268,1.6335,2.17,7,0.9,1.28,6.54,5.17,6,11.71,12,Periodic Review (Bi-Weekly) | Standard Reorder Trigger
FOODS_1_192,B,Z,BZ,0.8923,1.2638,1.4163,2.35,7,0.9,1.28,6.25,4.28,5,10.53,11,Periodic Review (Bi-Weekly) | Standard Reorder Trigger
FOODS_1_063,B,Z,BZ,0.8688,1.1481,1.3215,2.21,7,0.9,1.28,6.08,3.89,4,9.97,10,Periodic Review (Bi-Weekly) | Standard Reorder Trigger
FOODS_1_142,B,Z,BZ,0.8228,1.4081,1.7114,1.47,7,0.9,1.28,5.76,4.77,5,10.53,11,Periodic Review (Bi-Weekly) | Standard Reorder Trigger
FOODS_1_146,B,Z,BZ,0.8129,1.2164,1.4964,2.23,7,0.9,1.28,5.69,4.12,5,9.81,10,Periodic Review (Bi-Weekly) | Standard Reorder Trigger
FOODS_1_001,B,Z,BZ,0.7857,1.2581,1.6012,2.17,7,0.9,1.28,5.5,4.26,5,9.76,10,Periodic Review (Bi-Weekly) | Standard Reorder Trigger
FOODS_1_132,B,Z,BZ,0.7799,1.5759,2.0206,1.86,7,0.9,1.28,5.46,5.34,6,10.8,11,Periodic Review (Bi-Weekly) | Standard Reorder Trigger
FOODS_1_069,B,Z,BZ,0.7794,1.5803,2.0276,2.51,7,0.9,1.28,5.46,5.35,6,10.81,11,Periodic Review (Bi-Weekly) | Standard Reorder Trigger
FOODS_1_213,B,Z,BZ,0.7397,1.1649,1.5748,2.32,7,0.9,1.28,5.18,3.95,4,9.13,10,Periodic Review (Bi-Weekly) | Standard Reorder Trigger
FOODS_1_091,B,Z,BZ,0.7297,1.1249,1.5416,2.34,7,0.9,1.28,5.11,3.81,4,8.92,9,Periodic Review (Bi-Weekly) | Standard Reorder Trigger
FOODS_1_182,B,Z,BZ,0.7277,1.2637,1.7366,2.01,7,0.9,1.28,5.09,4.28,5,9.37,10,Periodic Review (Bi-Weekly) | Standard Reorder Trigger
FOODS_1_203,B,Z,BZ,0.7271,1.51,2.0767,2.17,7,0.9,1.28,5.09,5.11,6,10.2,11,Periodic Review (Bi-Weekly) | Standard Reorder Trigger
FOODS_1_035,B,Z,BZ,0.7188,1.5997,2.2255,2.52,7,0.9,1.28,5.03,5.42,6,10.45,11,Periodic Review (Bi-Weekly) | Standard Reorder Trigger
FOODS_1_168,B,Z,BZ,0.7172,1.1782,1.6428,2.16,7,0.9,1.28,5.02,3.99,4,9.01,10,Periodic Review (Bi-Weekly) | Standard Reorder Trigger
FOODS_1_143,B,Z,BZ,0.7146,1.4168,1.9826,1.98,7,0.9,1.28,5.0,4.8,5,9.8,10,Periodic Review (Bi-Weekly) | Standard Reorder Trigger
FOODS_1_102,B,Z,BZ,0.6984,1.1027,1.5789,1.76,7,0.9,1.28,4.89,3.73,4,8.62,9,Periodic Review (Bi-Weekly) | Standard Reorder Trigger
FOODS_1_015,B,Z,BZ,0.6806,1.4824,2.1781,3.2,7,0.9,1.28,4.76,5.02,6,9.78,10,Periodic Review (Bi-Weekly) | Standard Reorder Trigger
FOODS_1_209,B,Z,BZ,0.6654,1.0114,1.52,2.35,7,0.9,1.28,4.66,3.43,4,8.09,9,Periodic Review (Bi-Weekly) | Standard Reorder Trigger
FOODS_1_071,B,Z,BZ,0.6472,1.2931,1.998,1.98,7,0.9,1.28,4.53,4.38,5,8.91,9,Periodic Review (Bi-Weekly) | Standard Reorder Trigger
FOODS_1_138,B,Z,BZ,0.6336,1.4205,2.242,2.51,7,0.9,1.28,4.44,4.81,5,9.25,10,Periodic Review (Bi-Weekly) | Standard Reorder Trigger
